test_id,scenario,severity,status,actual,expected
TAT-UAT-001,"Normal bank receipt",Low,Passed,"Valid/100","Valid/100"
TAT-UAT-002,"Exact duplicate statement line",High,Passed,"Both duplicate rows flagged","Exact duplicate Error"
TAT-UAT-003,"Missing bank account",High,Passed,"Error","Error"
TAT-UAT-004,"Missing reference",Medium,Passed,"Warning","Warning"
TAT-UAT-005,"Bank charge outflow",Medium,Passed,"Valid/-2500","Valid/-2500"
TAT-UAT-006,"Invalid credit/outflow sign",Medium,Passed,"Warning","Warning"
TAT-UAT-007,"Partial receipt allocation",High,Passed,"25000/15000","25000/15000"
TAT-UAT-008,"Disputed bank item",High,Passed,"Valid/disputed=true","Valid/disputed=true"
TAT-UAT-009,"Future value date",High,Passed,"Error","Error"
TAT-UAT-010,"Stale settlement promise",Medium,Passed,"60000","60000"
TAT-UAT-011,"Multi-currency receipt",High,Passed,"USD/73450","USD/73450"
TAT-UAT-012,"Multi-currency payment",High,Passed,"EUR/-40000","EUR/-40000"
TAT-UAT-013,"Refresh failure",High,Passed,"Last successful snapshot protected","Protected"
TAT-UAT-014,"Schema change",High,Passed,"Schema rejected","Reject missing required bankAccount column"
TAT-UAT-015,"Blank output",Critical,Passed,"Blank output blocked","Blocked"
TAT-UAT-016,"Unauthorized override",Critical,Passed,"Access denied","Access denied"
TAT-UAT-017,"Unauthorized payment mutation",Critical,Passed,"Access denied/propose_only","Access denied/propose_only"
TAT-UAT-018,"Month-end close control totals",Critical,Passed,"2474950","2474950"
